#{"t_start": 1596247982.1128078, "env_id": null}
r,l,t
2.411,567,35.563718
1.505,475,64.103732
3.512,468,80.096997
1.768,222,93.999815
10.24,728,136.352445
5.384,591,165.627704
4.608,376,193.125258
5.525,449,221.628166
-0.325,313,236.590831
11.227,1705,336.011403
5.477,503,354.116567
18.023,1898,467.729718
4.236,736,512.334757
13.634,1309,586.541986
12.887,1068,648.086664
8.903,1054,709.453287
4.296,677,754.367016
1.497,483,784.863577
7.528,1415,866.907789
6.914,1044,932.351133
14.511,1430,1026.4542
9.268,701,1073.758868
12.13,834,1122.350624
14.64,1305,1202.101042
13.439,1499,1295.813158
1.379,598,1328.259371
6.206,764,1376.004007
0.452,529,1408.698658
-0.526,508,1441.513833
10.863,2057,1572.891035
5.846,1111,1652.218462
1.374,603,1684.738739
5.394,583,1717.551257
6.274,698,1765.714029
-0.569,550,1798.6002
2.443,537,1831.578817
12.045,916,1896.311186
11.951,1006,1961.227738
5.236,735,2010.29801
1.465,515,2042.477461
2.201,770,2092.208471
0.406,573,2124.984075
-1.666,643,2158.459376
2.354,622,2205.688378
19.631,1312,2286.7995
8.267,703,2334.932281
9.031,931,2385.14222
6.223,747,2435.21445
12.177,1754,2548.550678
9.21,757,2597.577057
5.31,664,2645.993864
6.168,799,2695.625346
17.953,1002,2761.159865
11.1,863,2811.309922
8.494,485,2843.992809
4.138,829,2893.477217
12.442,1499,2992.058164
10.662,1287,3074.209821
9.204,764,3122.660011
11.82,1133,3189.163501
6.202,767,3237.279204
-0.621,599,3284.400345
5.467,512,3316.936917
9.53,1414,3399.734658
6.459,1485,3497.699434
11.718,1232,3579.103536
1.478,503,3612.05922
6.206,763,3661.232738
7.818,1135,3727.469121
2.431,548,3760.709574
3.078,888,3824.899363
9.118,846,3874.56738
4.315,659,3922.677144
4.963,997,3988.589425
3.427,551,4021.587246
2.317,658,4055.508
1.321,655,4103.357231
2.456,523,4136.072617
13.636,1311,4218.0714
7.847,1109,4285.891415
1.473,508,4318.712423
3.157,812,4384.062178
9.95,1009,4450.216399
7.271,700,4484.691182
3.357,618,4532.824334
2.371,605,4566.587462
6.283,688,4615.930639
29.654,2248,4764.473544
0.558,427,4782.317038
27.883,2029,4913.085014
1.408,571,4946.300922
17.797,1152,5026.94126
12.922,1034,5092.630273
6.081,885,5143.101666
10.159,806,5192.456162
9.77,1183,5273.842036
10.352,621,5322.328454
7.165,803,5371.954591
11.063,898,5422.185206
11.89,1065,5489.261879
5.484,496,5521.851458
4.362,614,5569.743132
12.673,1275,5652.487636
20.478,1458,5736.444717
2.28,693,5787.289371
6.489,490,5820.256574
7.172,795,5869.67022
12.246,1685,5984.220485
20.849,1100,6051.070372
8.978,982,6116.60726
6.139,829,6166.324324
5.431,546,6199.42199
4.633,353,6231.187526
2.442,537,6264.53925
24.167,2720,6432.672485
5.374,600,6481.246742
1.524,457,6499.890262
15.632,1310,6597.000709
15.182,783,6646.384909
5.368,605,6679.943096
25.221,1706,6794.460359
2.462,517,6827.710747
2.44,539,6860.969204
11.164,802,6910.552318
11.351,1582,7009.500908
18.042,1802,7124.428103
5.339,635,7172.528253
17.181,1741,7272.709356
15.908,1038,7338.967731
10.314,654,7387.346069
1.712,275,7404.300633
12.169,795,7453.448447
1.367,605,7501.452851
7.399,576,7534.679408
0.619,357,7552.126405
4.582,402,7583.832943
12.855,1096,7650.258465
7.46,518,7683.237682
11.48,1460,7782.026376
9.357,615,7816.008318
5.39,586,7849.818674
8.173,793,7913.471009
4.272,701,7947.820511
2.489,493,7980.434053
10.199,769,8029.858096
0.417,562,8063.379245
9.102,863,8128.508252
30.972,1942,8245.173207
13.9,1056,8311.311103
5.136,830,8375.536351
9.808,1145,8442.24164
10.183,782,8491.576159
2.192,777,8540.685052
9.38,594,8588.336587
3.044,919,8638.890457
12.742,1206,8720.272397
0.674,313,8737.193426
-1.012,818,8787.891937
2.667,317,8818.773829
2.745,244,8835.093904
-0.152,145,8836.317319
-1.246,234,8852.656862
6.57,403,8884.784072
3.676,1265,8967.343233
8.397,577,9000.553192
5.866,1090,9067.837665
6.243,727,9116.638429
6.978,983,9182.475201
2.293,681,9216.960298
8.125,840,9281.888591
10.058,904,9332.448596
6.408,568,9367.148066
2.39,587,9415.172726
6.534,447,9433.357648
9.327,646,9481.885184
20.414,1519,9580.731674
11.981,1942,9697.267578
10.53,1414,9794.915791
6.387,588,9828.386876
3.422,555,9862.234576
7.27,700,9910.911482
20.633,1309,9992.983007
2.545,438,10025.639407
4.361,615,10059.274904
19.465,1471,10158.633106
39.726,2177,10305.561061
9.287,685,10340.365453
2.449,530,10373.107298
2.293,681,10421.775641
28.363,1567,10520.55236
51.047,3793,10767.758881
16.017,1908,10883.696499
19.324,1612,10997.721434
21.405,1533,11097.074322
8.188,780,11146.501057
22.931,1986,11278.794024
11.749,1201,11346.627175
24.032,1887,11476.742098
33.349,2541,11640.50893
19.303,1627,11739.635208
7.091,873,11790.506803
5.49,489,11823.640263
10.419,1522,11923.104945
1.282,691,11971.951146
8.967,992,12037.770352
0.16,811,12088.006495
4.323,652,12122.229121
0.401,577,12169.962323
4.019,945,12221.03667
13.102,1826,12351.58616
8.336,638,12386.19148
17.824,2093,12519.445334
4.474,505,12552.845631
-2.593,574,12586.381661
4.414,563,12634.181628
33.707,2197,12767.086746
15.812,1140,12848.515748
11.918,1040,12914.408344
12.868,1089,12982.086855
4.373,604,13015.882737
16.551,1393,13113.994666
10.807,1147,13180.877706
30.921,1993,13312.117626
14.972,987,13378.380371
8.22,749,13428.219423
10.167,800,13478.093811
17.303,1632,13578.232318
17.292,1641,13693.366871
15.426,1515,13793.391372
23.252,1678,13894.422643
7.236,734,13944.096332
23.011,1909,14076.041527
17.135,828,14125.97305
17.325,1606,14225.577662
12.13,833,14276.096206
4.48,499,14309.215668
3.332,642,14358.009428
4.682,304,14375.011781
-0.369,351,14392.469419
1.052,911,14458.067766
-0.327,315,14475.103059
8.717,1232,14559.279763
17.073,885,14610.701802
7.452,526,14645.218588
8.381,594,14693.222895
13.117,847,14743.04077
6.278,696,14791.558975
29.466,2434,14941.728068
37.465,2428,15105.140544
27.981,1934,15222.077056
8.193,774,15271.637839
4.515,464,15304.116661
4.43,547,15337.401517
30.993,1914,15468.474418
8.475,501,15502.216577
3.245,724,15551.525124
4.499,473,15569.946452
1.597,387,15601.92655
0.697,286,15618.722573
26.161,1754,15734.062556
11.161,803,15783.757321
3.495,483,15816.396708
17.219,1702,15930.617563
9.165,799,15980.152985
8.266,703,16014.402992
8.205,762,16063.694267
33.031,1885,16193.754435
8.264,706,16242.296224
24.107,1814,16357.803958
5.532,449,16375.951632
17.759,1187,16458.910826
6.217,751,16507.883607
7.193,777,16557.401609
5.369,606,16590.967689
46.482,2407,16755.032499
12.504,1437,16838.586536
18.699,1246,16920.669595
14.189,774,16970.332325
11.312,659,17018.921356
17.571,1372,17102.478718
5.34,634,17151.646159
7.246,724,17186.473802
3.471,510,17219.559604
41.242,1679,17335.28433
16.968,989,17401.644872
8.37,605,17435.618938
8.135,830,17485.942157
9.869,1087,17567.248764
15.68,1267,17650.198109
21.371,1564,17750.282493
8.981,980,17817.208848
10.222,745,17866.754741
36.969,1945,17983.96952
17.273,1659,18098.301061
11.941,1017,18164.314865
9.219,749,18213.594265
4.327,646,18247.837401
57.036,3799,18494.986014
3.347,629,18529.308514
8.269,702,18578.711221
7.478,501,18611.421386
9.263,707,18660.324704
6.49,490,18693.211097
26.269,1658,18792.999436
30.813,2096,18925.439556
5.191,778,18975.168038
12.334,637,19023.631436
14.369,600,19057.284876
11.405,570,19090.923641
25.593,1344,19188.572853
5.434,544,19221.820607
6.172,795,19271.773337
12.248,720,19321.042662
15.088,873,19371.541356
16.222,742,19421.046053
16.734,1214,19503.246745
5.497,483,19535.810793
10.872,1084,19602.310449
6.236,734,19651.095394
11.157,809,19700.826859
54.993,2879,19882.819215
0.458,522,19915.710591
19.832,1117,19996.53478
54.813,4016,20246.70722
14.175,789,20296.712661
8.344,629,20345.232923
10.085,878,20395.32099
20.8,1150,20476.120962
47.954,2917,20657.725787
10.342,629,20706.026915
3.69,295,20722.815669
11.336,632,20756.745543
5.247,723,20805.704818
10.798,1149,20887.073896
8.453,520,20920.077425
9.44,533,20953.354242
8.509,463,20971.640464
3.675,309,21003.188321
3.508,469,21021.656264
7.424,550,21069.81364
14.002,952,21121.062963
5.387,589,21169.363072
8.309,663,21203.433251
6.976,985,21268.48649
1.356,620,21316.287491
16.67,1274,21384.011791
10.297,674,21432.447118
66.959,3868,21678.75916
3.444,535,21711.652955
24.489,2410,21874.791454
10.68,1267,21957.214957
7.396,579,21990.881044
33.267,1657,22091.524895
17.804,1144,22173.26339
7.168,797,22222.625145
11.193,771,22272.086748
15.942,1005,22337.384251
17.27,1656,22437.864867
3.442,536,22484.710777
4.595,388,22502.485146
12.329,640,22550.153704
19.62,1321,22633.363184
5.223,747,22682.515244
19.896,1055,22748.0679
41.223,2662,22912.014958
27.625,2281,23059.511189
11.073,890,23124.718302
31.532,2367,23273.558931
6.333,640,23307.316134
10.856,1101,23387.545906
4.232,739,23422.381259
10.251,718,23471.239198
5.259,713,23520.787071
7.435,541,23553.446755
29.857,2054,23687.242282
17.929,1992,23817.631445
3.612,371,23835.022935
18.737,1207,23916.552469
5.67,317,23933.436481
7.314,657,23981.524874
0.792,200,23997.32739
33.938,1966,24112.893371
46.616,2276,24261.29068
18.784,1161,24342.110955
14.836,1112,24407.681883
1.6,383,24439.277158
8.322,647,24473.161074
2.601,383,24504.733621
0.561,422,24522.590561
3.587,397,24554.641787
12.723,1224,24636.350374
17.859,1093,24702.668065
14.647,1298,24785.449118
11.147,818,24835.673193
8.937,1021,24901.842127
18.309,1624,25015.847764
17.994,964,25066.692755
17.174,791,25116.315147
24.538,2367,25279.366562
4.463,516,25311.918186
11.369,604,25345.479546
6.418,559,25378.444321
8.22,748,25427.752247
7.505,471,25460.03203
0.813,177,25475.721732
9.324,646,25509.544347
9.288,683,25557.857111
5.417,560,25591.002999
4.438,540,25624.145022
25.991,1925,25754.034712
7.426,551,25786.97221
10.15,817,25836.500115
10.319,1615,25935.661976
13.029,930,26001.232971
12.947,1973,26132.954679
9.271,697,26167.966852
0.686,294,26199.390058
13.068,892,26250.312613
12.958,995,26316.719727
5.241,727,26366.066604
8.296,674,26400.188807
17.554,1383,26496.762563
17.1,1820,26611.309515
23.492,1443,26694.325686
5.471,506,26726.684973
3.318,655,26774.474021
7.429,546,26807.323273
7.168,799,26856.516023
8.058,906,26921.213264
29.604,2297,27068.416891
9.13,835,27117.805999
43.699,3163,27315.925742
15.875,1074,27396.119517
9.121,842,27446.175764
3.35,620,27480.111882
6.561,418,27512.255004
13.633,1311,27594.593117
7.32,652,27643.119474
7.371,604,27676.701137
9.08,877,27732.975575
2.442,537,27786.737614
13.702,1247,27854.669601
12.563,1381,27951.081874
17.543,1397,28033.490417
8.391,585,28081.203058
19.384,1551,28179.896926
9.281,690,28214.410757
11.992,967,28279.667585
7.041,920,28344.699897
14.777,1173,28411.837295
9.414,561,28445.336605
12.234,734,28494.337869
7.229,1702,28608.682421
9.21,755,28657.826954
5.257,709,28706.136105
9.884,1072,28772.193644
12.668,1278,28853.904774
10.468,500,28886.464462
1.691,293,28903.128855
10.377,596,28936.79554
-1.367,353,28968.114129
3.273,697,29002.794269
5.335,637,29051.095337
6.16,803,29100.712135
40.633,3193,29299.737055
9.376,591,29347.796019
0.528,451,29380.295195
36.797,3065,29563.740289
3.986,890,29628.613809
20.714,2194,29776.809851
23.751,1191,29844.517325
30.897,2010,29977.224878
43.734,3130,30177.780742
16.427,1510,30277.541929
29.52,1412,30375.704096
14.395,575,30409.189589
20.813,1941,30540.16773
7.558,421,30558.043412
10.29,678,30606.799283
41.789,2108,30739.492627
28.342,1578,30839.749247
17.934,1018,30906.123141
17.494,1441,31006.492456
22.05,1865,31123.598768
1.8,190,31139.76792
6.115,848,31190.612019
25.233,1687,31305.746853
15.83,1121,31372.536644
3.746,242,31389.068188
13.185,777,31438.690924
10.418,554,31472.12141
24.574,1359,31569.386293
31.299,2587,31734.305394
13.849,1103,31801.000637
7.181,787,31850.826885
60.153,4646,32148.237805
15.168,795,32198.052644
17.047,912,32263.2303
20.791,1154,32330.264911
9.277,692,32379.625482
38.65,2248,32527.903535
2.413,563,32561.296508
10.268,697,32610.093464
15.097,861,32660.386221
15.947,1006,32726.045982
18.693,1250,32808.795823
2.418,557,32842.318657
9.228,738,32891.702224
8.381,592,32925.296466
2.466,514,32958.448058
17.03,1769,33073.937217
10.841,1110,33154.926599
-0.095,90,33155.683059
5.494,1108,33222.105576
2.491,482,33254.693086
0.137,761,33303.747652
-0.135,130,33318.909962
5.342,628,33352.416056
3.113,848,33402.044055
1.672,312,33433.096069
-0.623,515,33465.895902
1.745,238,33482.519294
14.896,1053,33548.41959
3.389,584,33582.159872
13.788,1157,33648.800466
15.019,940,33713.558672
30.357,1568,33812.546006
4.396,578,33860.432979
22.228,1698,33960.300137
12.492,481,33992.688413
12.745,1197,34073.930737
11.282,687,34108.575071
11.975,980,34173.777843
9.337,630,34221.525363
31.669,2229,34353.961565
16.434,1433,34451.635936
4.671,978,34516.896958
0.789,201,34532.828733
6.623,359,34550.554962
16.937,1015,34617.645438
3.51,469,34650.527168
13.224,741,34699.754107
8.08,882,34749.829115
16.222,1701,34863.983987
1.525,455,34897.031792
1.445,524,34930.086067
3.392,582,34963.484365
26.619,2279,35110.763728
21.6,1336,35193.259407
10.582,397,35225.403996
0.439,540,35258.500087
52.906,2954,35441.070206
4.328,645,35489.597583
9.099,862,35539.287191
10.131,828,35588.906108
19.288,674,35637.271457
21.946,1006,35705.46391
10.239,722,35763.247224
10.31,657,35800.639653
40.026,1875,35930.69199
4.779,208,35932.574021
22.874,1072,36014.232076
10.767,1180,36081.025625
11.246,718,36130.058605
18.814,1131,36196.542442
13.933,1019,36262.217335
5.43,547,36309.395989
6.216,752,36344.169606
50.002,2868,36548.703968
9.336,636,36582.942941
7.302,669,36631.729331
4.289,684,36666.050652
16.145,818,36729.778387
11.294,676,36763.861592
11.686,1261,36846.094896
13.886,1068,36911.968338
26.556,1378,37008.905698
15.263,703,37057.970368
40.247,2629,37223.865489
6.49,410,37241.547114
-2.225,215,37257.674851
16.711,1233,37339.283679
41.936,2930,37520.584203
7.385,589,37567.973729
10.253,713,37616.466509
32.187,1731,37716.457929
16.688,1251,37798.233863
11.249,717,37847.270677
15.813,1132,37913.491055
13.277,685,37962.310225
3.35,625,38011.120859
7.296,672,38046.276871
35.685,2207,38198.805513
0.488,491,38231.464869
10.246,716,38281.837711
13.193,769,38333.384615
7.47,507,38366.50126
